X;Y;Z
17.25;1.21;6.52
21.94;1.06;6.68
16.39;1;1.63
14.65;0.5;6.16
18.48;1.59;1.86
20.64;1.07;6.3
22.42;1.5;6.87
13.29;0.95;2.44
22.49;1.02;1.34
21.84;1.02;1.46
13.41;0.67;5.61
9.97;1.59;6.34
9.94;2.25;6.63
21.4;1.36;6.57
20.52;1.95;1.43
13.35;1.05;2.41
16.12;1.18;6.48
19.95;1.06;2
15.42;2.75;6.83
10.59;1.1;2.1
18.02;1.26;6.36
9.92;0.78;2.01
13.21;2.95;6.71
17.78;1.21;1.88
10.59;1.7;1.91
11.76;1.32;2.19
15.23;0.68;1.87
11.84;0.74;2.66
21.37;1.92;6.82
19.84;0.12;5.95
22.53;1.04;1.55
22.34;2.75;1.17
10.54;1.63;1.93
19.16;1.96;6.67
15.95;2.57;6.78
20.61;1.64;6.58
10.49;1.37;2.02
10.48;2.19;1.76
22.58;0.55;6.74
16.51;1.9;1.52
10.97;2.92;6.66
14.03;0.93;6.07
19.18;1.29;2.06
17.13;1.68;1.59
13.35;0.55;5.64
9.97;2.38;6.66
14.7;1.3;6.23
11.14;1.9;2.02
16.53;1.81;1.63
15.35;0.62;6.5
18.47;2.4;1.35
15.34;2.31;6.62
11.14;1.97;1.83
11.86;1.02;2.44
14.81;1.65;1.73
10.49;0.89;2.19
20.74;1.08;6.33
10.5;0.78;6.05
17.91;2.14;6.78
21.17;2.17;1.27
21.93;1.05;6.52
12.7;2.37;6.52
10.6;1.87;6.51
11.91;0.42;5.57
21.31;1.21;6.44
21.31;2.71;1.23
15.75;1.86;6.71
10.8;1.94;1.85
21.84;2.8;1.19
15.24;0.61;1.91
11.89;1.02;2.45
12.55;0.52;2.76
18.68;1.14;2
22.63;0.65;6.75
22.59;0.31;1.43
9.69;2.15;6.61
20.6;0.56;2.1
13.27;1.61;2.01
9.96;2.35;6.46
20.53;1.82;1.5
9.95;0.95;6.19
15.28;0.74;6.35
17.25;0.59;6.28
18.64;1.3;6.38
12.55;2.01;1.81
11.17;1.2;2.21
13.23;0.35;5.64
17.16;2.07;1.46
9.9;1.08;1.96
16.47;1.15;1.68
17.87;1.68;6.37
11.35;2.89;1.68
21.34;2;6.85
17.2;1.21;6.45
22.49;1.08;1.33
15.31;2.06;6.73
12.99;2.09;6.52
13.23;2.17;1.7
14.6;0.81;2.1
17.83;1.78;1.62
15.94;1.69;6.64
22.49;0.94;1.36
17.86;0.85;6.19
10.62;1.72;6.43
20.97;2.89;6.93
12.59;1.37;2.23
10.6;1.1;6.27
22.64;0.72;6.77
20.61;2.16;6.83
16.67;1.67;6.61
17.25;1.16;6.45
13.54;0.89;5.97
13.23;2;6.43
11.91;2.38;1.69
17.19;0.74;6.23
20.6;2.35;6.67
17.78;1.28;1.9
13.58;0.84;5.93
15.89;0.99;1.79
13.32;1.73;6.37
21.41;2.84;1.21
17.26;2;6.75
17.27;1.77;6.65
20.65;2.43;6.91
16.48;1.38;1.88
22.58;1.74;6.9
15.95;1.11;6.55
15.28;2.41;6.8
10.57;0.62;6
13.97;1.72;1.82
19.25;1.38;6.36
10.62;1.29;6.15
16.55;1.06;6.34
17.8;1.07;6.31
16.5;0.78;1.74
13.29;1.89;6.33
22.25;0.17;6.8
10.59;0.53;6.09
13.29;0.89;2.48
11.22;1.8;2.01
14.55;2.06;1.59
19.96;2.39;6.81
19.99;1.93;6.68
13.21;1.09;2.34
18.58;0.71;6.13
11.18;1.06;2.28
16.59;1.36;6.6
10.39;1.93;6.49
14.65;1.74;6.55
20.64;1.49;6.5
19.96;1.81;6.62
18.39;2.34;1.37
21.5;2.37;6.91
22.45;2.22;1.15
12.72;1.01;5.83
17.87;1.08;6.4
14.58;2.07;1.59
19.22;1.04;6.17
14.66;1.85;6.61
14;1.21;2.17
18.5;2.95;1.34
17.36;1.99;6.66
11.05;2.14;1.81
15.82;1.62;1.61
17.84;1.66;6.42
21.75;0.32;1.64
17.68;1.85;6.62
19.86;1.66;6.43
20.42;3.01;1.25
14.57;1.97;6.59
18.5;1.07;1.93
12.59;1.07;5.69
19.25;2.07;6.74
21.84;0.79;1.51
17.14;2.98;6.85
13.95;1.68;1.85
17.26;1.17;6.52
18.48;1.44;1.77
21.33;0.56;6.27
10.65;2.29;1.71
10.57;1.5;1.97
21.84;0.77;1.51
15.28;0.85;6.34
21.4;1.38;6.62
17.9;1.53;6.55
11.91;0.75;5.76
17.16;2.39;1.39
18.48;0.95;2.01
11.94;0.56;5.65
15.36;2.39;6.8
14.69;1.29;1.86
20.61;1.18;1.88
21.9;2.34;6.97
10.51;0.96;2.14
10.53;2.26;1.73
13.71;2.56;1.61
11.48;1.03;5.95
22.59;1.96;6.94
14.07;1.58;1.98
9.94;1.76;6.52
18.54;1.28;6.38
17.25;1.74;6.59
15.19;0.62;1.89
17.26;1.96;6.51
10.51;1.69;1.91
22.7;1.29;6.85
15.94;1.2;6.44
18.31;1.8;1.57
15.3;1.34;6.54
9.97;1.5;6.38
12.67;2.18;6.56
10.53;0.72;6.19
21.39;1.23;6.45
18.59;1.19;6.33
14.65;1.32;6.42
22.59;2.81;1.09
22.49;1.02;1.34
20.54;2;1.4
15.88;1.05;1.94
15.92;0.46;6.41
17.28;0.7;6.28
16.52;1.94;1.5
15.88;2.31;1.61
10.05;1.96;6.58
17.04;0.33;1.75
11.61;1.85;1.92
10.68;2.81;1.71
13.33;1.67;6.31
15.66;0.12;1.89
10.74;2.38;6.59
13.28;1.44;2.15
14.57;1;1.98
14.65;1.91;6.45
10.02;0.6;2.1
20.62;3;1.23
13.98;1.2;2.18
19.16;1.07;6.15
22.47;2.15;1.18
20.79;1.36;6.36
16.59;2.17;6.79
21.02;2.47;6.89
13.29;1.51;2.18
13.05;2.05;6.48
22.5;1.43;1.35
18.66;1.37;6.39
9.92;1.59;6.34
11.14;0.5;5.81
18.56;1.2;6.34
16.95;2.63;6.83
10.69;2.33;1.73
13.94;1.64;1.86
15.91;1.63;6.65
17.79;1.33;1.95
10.58;0.42;2.35
15.78;2.35;1.46
21.28;1.38;6.49
13.86;1.93;1.73
20.69;2.1;1.32
10.61;1.82;6.5
10.62;1.36;6.34
13.38;2.46;6.71
15.94;1.3;6.58
17.3;2.85;1.33
9.97;0.83;6.27
16.51;1.84;1.53
10.53;0.71;5.97
17.83;1.97;1.73
14.64;1.04;1.94
10.61;0.48;6.07
20.75;0.17;2.01
14.6;1.35;6.42
11.15;1.8;1.94
18.31;0.19;2.19
10.09;2.34;1.77
12.63;1.7;6.31
13.21;0.79;2.58
19.91;1.8;6.5
18.49;2.07;1.46
12.54;1.72;2
11.28;1.3;2.18
12.15;2.46;1.72
18.73;0.19;5.93
17.18;1.51;1.69
13.34;1.37;6.15
11.08;0.78;2.46
12.54;0.19;5.44
11.88;1.35;6.1
16.82;3.01;1.41
14.01;1.07;6.15
15.86;1.33;6.58
22.7;2.98;7
9.74;0.75;6.5
15.9;1.16;6.55
11.23;1.29;2.17
18.14;0.23;6.17
19.23;1.63;6.32
10.48;1.54;2.02
11.85;0.81;2.61
20.09;2.37;1.37
13.3;0.7;5.76
15.88;1.08;1.96
17.34;1.14;1.73
19.95;1.74;6.58
22.7;0.71;6.8
14.96;0.56;6.41
21.16;2.37;1.22
13.24;0.77;5.79
21.15;1.64;1.49
21.22;1.37;1.56
14.13;1.81;1.84
17.21;2.26;1.52
17.06;1.07;1.79
11.93;1.76;6.26
18.58;2.39;1.35
22.6;1.2;6.71
11.97;1.96;6.47
21.92;0.68;1.71
13.96;1.46;1.95
14.55;2.24;1.55
10.41;0.38;2.11
18.48;2.15;1.43
11.22;1.78;1.99
18.56;0.5;6.03
11.3;0.7;5.82
16.32;2.29;1.48
14.64;1.53;6.49
19.97;0.52;5.83
17.89;1.4;6.5
16.45;2.24;1.51
21.33;1.08;6.5
15.2;1.35;1.74
22.52;2.13;1.16
19.86;1.45;1.87
20.6;2.15;6.82
9.89;1.94;1.8
15.17;0.43;1.96
21.46;1.62;6.62
14.55;0.98;6.35
14.67;1.93;6.64
10.5;1.49;1.97
18.01;2.36;6.84
17.98;2.32;6.72
20.62;1.65;6.59
15.19;0.69;1.87
15.12;1.36;1.78
16.6;2.16;6.79
20.59;0.61;6.01
11.55;1.12;2.23
11.98;1.53;2.18
16.5;1.06;6.48
10.51;0.74;2.24
15.93;1.17;6.56
14.69;1.77;6.57
15.96;1.77;6.62
22.82;0.69;6.77
14.38;1.6;6.47
20.46;1.94;1.44
16.28;0.66;6.62
16.29;1.99;1.6
11.39;1.65;6.23
16.48;1.37;1.65
10.58;1.6;1.94
17.81;1.72;1.59
17.89;0.87;6.24
10.56;2.33;1.71
20.65;1.43;6.47
18.59;2.36;1.36
9.9;1.79;1.83
9.92;1.15;1.96
19.84;2;6.72
21.37;0.73;1.8
13.29;2;6.53
18.62;2.39;1.36
13.92;1.9;1.93
15.95;1.26;6.41
21.32;1.07;6.5
13.97;2.65;1.54
14.72;0.71;6.27
13.34;1;2.38
21.84;1.88;1.43
11.05;0.93;6.08
21.2;1.95;6.81
15.28;1.01;6.45
17.17;2.12;1.44
18.06;0.5;2.02
10.51;1.36;6.18
16.9;0.97;1.66
19.97;1.8;6.6
14.52;0.75;6.22
22.78;2.58;6.98
11.14;1.92;2.03
19.94;1.05;2.15
13.94;2.41;6.73
12.58;1.63;6.25
10.29;1.42;1.8
21.18;2.15;1.34
20.51;0.9;1.97
22.53;1;1.51
13.3;0.83;2.56
10.55;2.24;1.73
16.62;2.89;1.43
22.28;0.99;1.42
18.49;0.98;2
12.61;1.51;6.12
10.51;0.74;2.24
14.18;0.78;6.11
17.25;1.69;1.59
20.68;0.92;6.2
13.85;0.22;2.47
17.22;0.43;6.32
10;0.26;2.15
17.33;1.64;1.67
19.83;2.09;1.46
11.88;1.69;2.02
22.49;0.74;1.41
21.27;2.58;1.24
14.69;1.2;6.3
17.89;2.28;6.68
17.86;2.36;6.84
16.58;0.84;6.46
10.83;2.03;6.47
22.65;0.73;6.79
17.9;1.03;6.37
17.28;1.76;6.66
11.14;1.33;2.35
14.5;1.36;1.93
21.22;1.36;1.56
15.3;1.04;6.24
12.02;2.96;1.63
15.21;1.87;1.76
14.71;1.87;6.56
15.91;2.3;1.61
11.17;1.09;2.25
9.63;1.32;1.93
22.73;1.33;6.83
13.53;0.33;5.64
14.71;1.27;6.42
19.19;1.74;6.57
17.4;2.91;6.87
15.85;2.3;1.62
17.28;0.67;6.39
18.23;1.64;1.65
20.59;1.66;6.59
13.38;0.46;5.6
21.84;1.99;1.25
11.88;2.39;1.69
11.22;1.36;6.21
22.47;2.33;1.13
18.94;0.11;2.24
12.66;2.36;6.44
15.22;1.19;1.88
21.29;1.39;6.46
21.36;0.68;6.22
12.56;1.86;1.91
11.09;0.74;2.42
13.33;0.73;5.62
15.16;1.94;6.6
17.28;1.25;6.4
19.68;0.27;2.33
20.81;0.76;2.04
22.58;0.55;6.66
17.23;2.66;6.81
21.84;2.34;6.97
9.97;0.76;6.29
16.6;1.69;6.67
18.05;1.37;6.4
15.12;1.66;1.76
11.28;2.21;6.54
18.5;2.37;1.37
11.3;1.64;6.34
10.03;2.22;1.8
11.19;1;6
9.95;0.86;6.33
11.79;1.36;6.09
17.25;0.55;6.32
18.42;1.18;1.87
19.84;2.34;1.55
15.91;1.92;6.55
21.92;2.32;6.97
17.89;1.7;6.62
10.61;0.55;6.09
13.96;0.45;2.42
18.61;0.77;6.05
13.11;0.8;2.57
16.52;1.68;1.59
21.19;2.26;1.36
21.35;0.61;6.23
14.69;0.42;6.15
16.59;0.73;6.42
14.65;1.27;6.4
21.84;1.34;1.41
19.38;1.52;6.35
10.54;2.06;1.77
21.71;2.33;6.92
21.21;0.69;6.34
16.55;0.75;1.76
13.34;1.12;5.99
10.36;1.17;6.4
10.41;2.19;1.81
14.6;0.13;6.06
14.64;1.36;6.43
14.07;0.23;2.43
10.53;1.72;1.89
15.93;0.7;6.47
21.35;0.67;6.22
11.86;1.65;2.04
18.49;0.93;2.02
19.68;0.59;5.99
21.92;1.93;1.25
16.53;1.96;1.5
22.76;0.23;6.74
15.95;1.68;6.62
21.23;1.91;6.8
13.24;2.28;1.66
18.5;2.39;1.36
10.04;1.5;6.36
15.28;0.75;6.35
17.24;1.22;6.53
18.53;1.04;1.96
20.68;0.73;1.98
14.83;2.6;1.52
12.52;0.31;5.46
13.21;1.04;2.39
15.85;0.94;1.76
19.69;1.62;1.64
14.65;1.05;6.34
16.03;2.63;6.86
21.18;2.14;1.28
10.04;2.37;6.57
12.58;1.15;2.43
12.7;1.6;6.24
18.46;0.81;2.1
12.63;0.67;2.65
12.61;0.93;5.63
9.96;0.78;6.28
22.33;1.04;1.44
20.5;1.33;1.76
10.45;1.68;2.1
21.92;2.39;6.99
16.73;2.03;1.56
9.92;1.64;6.46
16.59;1.5;6.63
15.21;1.64;1.66
11.03;1.43;6.35
18.47;1.33;1.81
18.49;2.12;1.44
14.02;0.75;2.31
13.14;2.99;6.72
16.6;0.87;6.45
21.25;0.86;1.8
22.59;1.15;6.83
16.18;1.36;6.54
18.51;1.57;1.84
14.62;0.99;6.32
11.89;2.12;1.79
10.56;2.22;1.87
21.86;1.07;1.48
15.85;1.17;6.56
17.15;0.79;1.89
15.28;0.74;6.35
13.94;1.39;2.21
18.48;1.57;1.69
21.85;1.37;1.4
22.18;2.81;6.97
17.87;2.22;6.81
21.94;1.99;1.27
22.6;2.71;1.08
13.01;0.85;5.84
9.8;1.6;6.4
10.56;2.33;6.6
15.72;1.36;6.55
19.96;1.06;2.08
14.62;1.68;6.54
10.6;1.75;6.47
15.95;1.66;6.65
22.84;2.18;6.97
20.65;1.36;1.73
14.65;0.71;6.24
22.65;0.67;6.68
22.64;1.28;6.81
17.16;1.53;1.62
16.58;0.78;6.43
10.05;2.4;6.66
17.91;1.64;6.41
18.46;0.88;2.16
15.24;1.68;6.61
15.94;1.86;6.71
21.21;1.58;1.48
11.19;1.82;1.91
15.37;2.37;6.79
14.53;2.35;1.53
21.29;1.85;6.64
21.17;2.4;1.21
15.9;1.34;6.58
21.17;1.6;1.48
13.32;1.03;5.93
21.51;1.77;6.72
18.97;0.94;2.13
14.68;0.73;6.26
15.14;1.35;1.78
15.96;1.74;6.6
11.21;1.78;1.99
22.58;1.17;6.73
9.93;1.62;6.49
10.56;2.16;1.75
11.84;2.36;1.89
15.95;1.76;6.68
16.81;0.62;6.5
22.58;0.6;6.75
18.48;2.22;1.51
10.99;1.03;6.2
22.66;1.33;6.85
15.95;2.39;1.51
13.46;0.22;5.59
13.92;1.71;1.86
18.5;2.27;1.4
17.83;2.38;6.79
10.5;2.35;1.71
10.61;0.31;2.37
13.28;1.05;5.85
18.41;1.03;1.96
14.72;1.39;6.46
13.35;1.34;6.13
11.22;1.64;6.35
13.95;1.88;1.92
16.53;0.61;1.9
14.47;1.04;1.98
20.74;2.05;1.43
9.87;1.92;2
15.35;2.33;6.63
10.51;1.34;2.01
22.49;0.73;1.41
21.17;2.37;1.22
16.1;0.36;6.4
22.48;0.72;1.42
21.15;2.34;1.23
18.25;0.23;2.04
13.35;1.75;6.31
16.61;2.17;6.79
17.2;1.68;1.8
15.23;1.76;1.72
11.94;0.77;5.77
19.94;1.69;1.63
10.35;0.99;2.17
17.08;0.94;6.4
22.35;0.66;6.66
11.92;1.61;2.07
13.25;1.99;6.51
19.94;1.69;6.54
17.24;1.94;6.52
15.34;0.46;1.88
14.65;1.14;6.36
17.85;0.91;6.23
10.5;1.86;6.52
16.52;1.67;1.6
22.51;1.62;1.26
15.45;2.6;6.76
21.88;0.53;1.57
20.6;2.1;6.77
9.82;0.77;2.07
13.79;0.84;5.99
19.93;1.67;6.5
22.37;1.88;1.18
15.34;1.05;6.27
10.3;1.1;2.11
11.21;1.79;1.92
17.55;2.61;6.82
14;1.89;1.73
13.06;2.25;1.66
9.96;2.38;6.43
18.83;1.77;1.6
21.16;2.58;6.92
9.87;1.88;1.98
21.06;1.51;1.62
14.11;3;1.54
15.32;0.9;6.35
10.63;1.95;6.54
10.63;2.4;1.8
21.15;1.65;1.47
17.89;0.87;6.29
11.23;2.75;1.69
14;0.94;6.05
10.53;1.07;2.1
15.9;1.62;1.61
15.51;2.09;6.7
9.98;0.84;6.32
10.71;0.73;6.13
17.14;0.54;1.92
21.26;2.39;1.28
13.35;0.58;5.61
14.73;1.35;6.4
15.92;1.65;1.76
10.57;2.38;1.7
13.36;1.28;5.92
13.37;1.11;5.94
22.63;0.69;6.77
17.39;0.94;6.36
21.32;0.94;1.84
13.13;2.23;6.56
22.56;0.55;6.73
19.24;1.06;6.18
17.22;1.34;6.56
10.65;2.38;1.7
10.57;0.71;6.17
17.99;2.01;6.71
19.98;0.47;5.88
11.19;1.73;1.95
15.83;1.32;6.58
22.38;0.94;1.32
13.47;0.92;2.45
20.62;0.17;2.23
13.04;1.05;5.96
11.32;2.58;1.7
19.23;1.9;6.66
21.32;0.72;6.39
16.5;1.96;1.7
17;1.28;6.48
10.86;2.08;6.49
14.41;2.09;1.69
17.83;1.95;1.5
13.42;1.32;6.13
18.04;1.37;1.82
21.85;1.29;1.42
16.13;0.84;6.48
19.33;1.42;6.43
11.93;0.7;5.74
21.94;0.86;6.61
15.95;1.89;6.53
15.84;1.01;1.74
11.52;2.27;1.76
15.3;1.51;6.57
10.52;1.44;1.99
10.52;1.42;1.99
22.57;1.06;1.31
20.59;2.4;6.9
17.16;2.23;6.78
17.2;2.56;6.88
16.14;1.46;6.61
14.01;2.96;1.52
22.68;0.77;6.74
13.94;1.11;2.12
17.63;0.19;2.01
19.88;1.51;1.83
21.21;1.61;1.47
16.05;2.79;1.46
22.74;2.68;1.15
17.21;1.7;6.66
15.53;1.19;6.53
10.59;2.24;1.8
12.72;1.09;5.75
22.47;1.58;1.39
15.93;1.94;6.54
13.92;1.34;2.02
14.03;1.38;1.97
20.65;1.4;6.46
16.61;1.37;1.64
15.94;0.76;6.26
20.58;1.99;1.4
18.49;1.6;1.68
18.62;1.86;1.63
15.25;2.37;6.59
21.29;1.62;1.45
11.14;0.45;2.55
22.46;1.51;1.27
22.46;2.37;1.35
10.6;1.35;6.34
9.99;2.4;6.66
20.68;2.6;1.28
17.15;0.78;1.86
22.58;1.9;6.93
9.97;1.59;6.49
9.97;1.41;6.4
17.25;1.36;6.56
17.23;1.12;6.51
12.35;0.84;2.5
18.61;2.17;1.42
10.67;1.86;6.51
19.37;1.34;6.22
16.98;0.8;1.78
10.54;0.53;6.11
14.61;2.34;1.52
21.32;1.45;1.62
15.96;2.39;1.43
18.51;1.55;1.83
15.98;2.92;1.45
14.3;1.75;6.59
15.91;0.6;6.45
22.56;2.94;6.98
20.71;0.81;6.09
14.75;0.11;6.3
10.64;1.22;6.29
13.93;1.94;1.72
15.95;1.7;6.66
21.9;1.92;1.26
11.22;1.8;2.01
19.94;0.78;6.06
12.51;0.68;2.65
15.96;1.22;6.44
15.3;0.85;6.31
19.84;1.62;1.86
10.52;0.96;2.15
15.25;0.25;6.26
14.56;1.31;6.4
17.15;1.49;1.63
17.42;0.23;6.27
17.86;0.65;1.97
13.8;2.86;1.57
21.75;1.98;1.27
18.01;0.12;6.26
13.33;0.46;5.63
11.5;2.55;6.62
19.29;1.6;6.49
12.08;2.74;6.72
16.57;1.96;1.5
19.79;2.27;1.37
17.24;1.65;6.65
12.79;2.63;6.68
17.24;1.71;6.67
10.77;1.8;6.38
13.38;1.19;5.93
19.22;0.87;6.03
18.44;1.07;1.92
9.95;0.57;2.07
12.14;1.34;2.21
18.59;2.31;1.38
14.69;1.36;6.44
20.79;0.25;5.99
14.86;1.42;6.54
22.38;1.27;6.83
17.07;1.95;1.57
13.43;0.7;5.8
20.58;2.2;6.83
13.9;1.76;1.82
21.8;1.32;1.43
16.94;2.47;1.44
16.8;1.33;1.65
12.65;1.4;6.04
12.93;1.58;2.05
13.27;0.98;2.42
11.15;2.62;1.65
18.48;1.65;1.66
16.44;1.98;1.5
19.89;0.76;6.03
20.36;2.92;1.23
22.62;1.19;6.78
22.58;2.4;1.11
9.99;1.63;6.49
10.48;0.14;6.23
18.52;1.28;6.37
15.2;1.29;6.44
21.96;1.49;6.78
21.97;1.6;6.8
13.93;1.16;2.11
18.69;0.33;5.95
17.5;2.61;6.82
13.44;1.36;6.09
18.56;1.93;6.69
15.39;2.19;6.68
16.63;2.77;1.43
15.23;1.4;6.44
14.48;1.34;6.28
10.02;1.06;6.31
18.43;1.61;1.69
9.96;0.88;6.33
13.98;0.58;2.35
19.38;2.56;6.84
21.2;1.46;1.53
17.25;0.81;6.44
15.79;0.41;6.5
22.57;0.52;6.73
11.26;1.42;6.24
13.94;0.65;2.32
19.92;0.26;5.8
20.61;2.12;6.76
21.32;1.06;1.87
15.28;0.55;6.3
21.16;2.16;1.28
17.15;1.44;1.65
20.65;0.47;2.14
21.27;1.95;6.82
14.66;1.94;6.43
13.61;2.94;1.57
13.42;1.97;6.47
10.45;1.08;2.08
20.67;1.48;6.41
13.25;1.06;2.36
11.85;0.76;5.68
16.29;2.67;1.45
18.27;2.05;1.5
22.51;0.91;1.43
19.25;2.36;6.84
19.95;0.54;5.91
19.86;1.58;1.71
12.64;2.19;6.57
14.65;1.71;6.56
17.16;1.35;1.67
21.27;1.03;6.4
13.13;1.43;6.09
20.66;1.5;6.39
18.56;0.54;6.05
13.97;0.77;2.24
21.4;2.96;1.21
13.49;0.56;5.68
15.96;1.17;6.56
18.46;2.06;1.46
10.66;2.37;1.7
15.29;1.46;6.53
19.35;1.53;6.34
18.44;1;2.17
16.6;0.89;6.48
21.91;0.96;6.63
19.9;1.54;1.85
13.25;1.48;2.12
15.88;0.89;6.52
18.84;2.24;1.41
21.22;1.7;1.44
10.94;2.19;6.57
21.61;1.32;1.53
17.21;1.76;6.68
12.62;0.94;5.76
16.64;2.8;1.41
17.93;1.08;6.27
17.88;1.54;6.44
16.54;2.02;1.48
19.26;2.26;6.81
10.46;2.49;6.61
14.65;1.06;6.34
10.84;2.6;6.63
9.9;1.81;1.92
19.34;2.39;6.85
22.57;1.73;6.9
15.47;2.65;6.77
21.36;0.78;6.2
13.54;1.09;2.2
15.33;1.05;6.24
14.11;2.28;1.63
13.19;1.03;2.39
15.28;2.08;6.73
11.86;1.02;2.44
15.3;1.4;6.55
22.47;2.13;1.16
21.84;1.7;6.81
19.79;1.67;1.65
14.62;1.02;6.32
14.54;0.78;6.23
19.9;1.62;6.5
16.55;2.35;6.66
21.8;1.92;1.27
22.41;0.57;6.74
19.46;2.1;1.46
10.61;0.73;6.16
16.62;0.86;6.47
10.47;1.65;6.36
9.93;2.3;6.61
19.93;1.99;6.72
19.89;1.66;6.53
14.79;0.25;6.15
14.67;0.66;6.23
9.95;1.6;6.49
21.2;1.65;6.7
16.57;0.83;6.46
16.07;1.56;6.55
11.71;0.98;2.55
13.34;1.33;6.12
16.4;2.71;6.8
19.16;1.09;6.07
19.17;0.49;2.3
17.8;0.54;2.1
11.85;0.73;2.67
18.06;1.28;6.35
17.25;2.35;1.39
19.88;1.93;6.68
22.56;2.03;1.16
9.91;0.55;2.07
9.91;0.65;2.05
17.88;0.98;6.35
16.57;1.96;1.61
17.29;0.4;1.94
17.92;2.18;6.69
12.56;1.94;1.86
22.18;2.99;6.97
15.72;0.42;1.73
21.3;1.68;6.68
15.86;1.43;1.65
11.29;2.08;6.55
11.23;1.76;1.94
13.35;1.32;6.12
11.3;0.79;2.41
10.57;1.57;1.96
20.6;1.21;6.35
18.3;2.04;1.52
17.15;0.87;1.93
13.22;2.33;1.65
12.83;0.71;2.71
9.8;2.9;1.74
15.33;1.07;1.7
9.89;1.15;1.95
9.76;2.22;6.57
15.21;2.55;6.79
17.8;1.98;1.7
13.33;1.76;6.3
16.51;1.15;1.68
17.25;1.69;1.66
20.52;2.38;1.33
20.65;0.98;6.24
15.29;1.41;6.52
22.5;1.63;1.47
12.55;1.92;2.05
21.84;1.2;1.43
12.57;2.37;6.58
10.47;1.64;2.1
12.97;2.52;1.66
11.17;0.67;2.59
20.62;0.57;2.09
10.05;0.9;6.25
22.58;1.1;6.82
10.77;1.28;2.09
17.02;2.57;1.43
17.27;1.95;6.73
17.88;0.97;6.19
17.13;2.26;1.51
14.48;0.57;6.24
19.92;1.83;6.62
22.58;0.53;6.73
9.71;2.31;1.77
15.72;0.36;6.41
11.19;1.67;2.01
10.36;1.22;2.06
16.57;1.5;6.6
22.25;2.27;1.22
15.09;0.75;6.36
17.96;1.61;1.74
17.86;2.34;6.83
11.29;1.62;6.33
21.34;1.17;6.44
9.97;1.7;6.51
10.6;1.73;6.44
17.81;1.33;1.74
16.61;0.95;6.38
21.98;0.41;1.42
15.83;2.71;6.78
17.01;0.54;6.4
15.21;1.71;1.68
19.15;1.94;1.73
19.87;1.41;1.86
16.46;1.22;1.76
21.29;0.91;1.82
17.17;1;1.77
14.43;0.71;6.08
12.06;2;6.45
19.94;0.74;6.03
20.04;1.38;6.26
10.5;2.36;1.75
18.5;2.53;6.82
11.9;0.59;5.55
9.89;0.44;2.1
15.94;1.65;6.65
12.71;2.37;6.64
12.63;1.47;6.14
12.59;0.87;5.72
17.9;2.28;6.68
18.56;1.38;6.18
15.25;1.38;1.97
13.97;0.52;2.38
18.61;1.89;6.67
14.89;2.94;6.77
15.9;1.09;1.71
18.62;1.99;6.71
17.98;2.33;6.71
10.56;0.66;5.97
14.56;0.79;6.24
15.29;2.3;6.78
21.3;1.69;6.72
10.52;2.31;1.72
10.66;1.31;6.32
18.47;0.98;2.15
22.58;1.1;6.82
21.21;0.96;1.75
15.9;0.7;6.31
13.92;1.16;2.14
10.44;3;1.71
14.54;2.23;1.55
17.35;1.7;1.54
14.66;1.67;6.54
21.15;2.39;1.47
19.94;1.64;6.52
17.08;1.05;1.79
17.12;1.54;1.71
18.53;1.04;1.96
10.6;0.48;6.07
9.78;0.81;6.45
10.12;1.96;1.83
15.95;0.69;6.29
21.21;2.79;1.22
12.64;1.36;6.06
17.72;0.16;2.08
12.63;2.36;6.42
15.81;0.67;6.47
20.58;2.36;6.89
19.63;2.48;1.29
13.97;1.21;2.07
18.57;2.53;6.82
14.47;2.33;1.53
21.59;1.45;6.74
14.38;1.38;6.35
20.61;0.56;2.1
17.24;1.05;1.77
10.19;2.18;6.56
12.67;2.4;6.65
11.23;0.86;5.94
14.64;0.58;6.11
11.24;2.39;6.47
16.07;1.67;6.66
15.3;0.86;6.33
19.72;2.17;1.48
11.29;2.06;6.55
9.93;2.39;6.66
12.65;2.2;6.58
15.69;2.28;1.48
9.9;2.26;6.64
17.24;0.46;6.29
18.62;0.98;6.23
19.85;1.52;6.39
13.12;0.78;5.71
20.03;0.16;2.2
17.26;1.26;6.54
14.46;1.38;6.3
15.21;1.69;6.59
15.95;1.93;6.52
15.3;2.06;6.73
15.94;1.99;6.49
11.27;2.29;6.47
18.47;0.74;2.13
18.87;0.62;6.09
16.05;1.27;6.58
17.8;0.64;2.12
21.23;1.39;1.59
21.34;0.77;6.42
9.96;2.34;6.46
22.67;1.36;6.85
13.93;1.8;1.79
16.02;1.32;6.59
17.69;1.65;1.71
17;2.38;6.8
12.6;1.16;2.4
18.04;0.9;6.23
12.39;0.88;5.81
13.13;1.65;2.11
21.83;1.91;1.27
11.17;0.66;2.44
22.5;2.33;1.31
20.73;1.11;6.34
21.24;0.99;1.71
18.49;1.46;1.78
22.56;1.02;1.51
10.45;2.42;1.69
21.89;1.32;1.4
14.58;1.61;1.76
11.26;0.77;2.41
10.05;0.97;6.34
12.62;0.63;2.81
16.49;0.73;1.76
15.25;1.75;6.63
11.96;1.36;6.1
21.92;2.71;1.19
16.58;0.74;6.43
17.73;0.57;6.22
21.95;1.04;6.67
14.05;0.84;5.94
15.95;1.69;1.63
11.7;2.15;6.53
